"samp_size","model","dim","num_bs_samples","nrm_typ","test_type","proc_type","xcor","rej_conf","ub","lb","min_pval","max_pval","rej_rate"
200,2,100,300,"lp","DE3JN","mag",0.5,"0.7326 (0.7201, 0.7448)",0.7448,0.7201,0,0.952,0.7326
200,2,100,300,"max","DE3JN","mag",0.5,"0.7378 (0.7254, 0.7499)",0.7499,0.7254,0,0.996,0.7378
200,2,100,300,"ssq","DE3JN","mag",0.5,"0.7563 (0.7442, 0.7682)",0.7682,0.7442,0,0.956,0.7563
200,2,50,300,"bonf","DE3JN","mag",0.5,"0.592 (0.5782, 0.6057)",0.6057,0.5782,6.33678665096227e-09,8.09776163008981,0.592
200,2,50,300,"l2","DE3JN","mag",0.5,"0.6562 (0.6428, 0.6694)",0.6694,0.6428,0,1,0.6562
200,2,50,300,"lp","DE3JN","mag",0.5,"0.7589 (0.7468, 0.7707)",0.7707,0.7468,0,0.952,0.7589
200,2,50,300,"max","DE3JN","mag",0.5,"0.7586 (0.7465, 0.7704)",0.7704,0.7465,0,0.972,0.7586
200,2,50,300,"ssq","DE3JN","mag",0.5,"0.7682 (0.7562, 0.7798)",0.7798,0.7562,0,0.944,0.7682
200,3,10,300,"bonf","DE3JN","mag",0.5,"0.236 (0.2243, 0.248)",0.248,0.2243,1.99924427901621e-06,3.102564419171,0.236
200,3,10,300,"l2","DE3JN","mag",0.5,"0.4798 (0.4659, 0.4938)",0.4938,0.4659,0,0.872,0.4798
200,3,10,300,"lp","DE3JN","mag",0.5,"0.4858 (0.4719, 0.4998)",0.4998,0.4719,0,0.864,0.4858
200,3,10,300,"max","DE3JN","mag",0.5,"0.5094 (0.4954, 0.5233)",0.5233,0.4954,0,0.868,0.5094
200,3,10,300,"ssq","DE3JN","mag",0.5,"0.4887 (0.4747, 0.5027)",0.5027,0.4747,0,0.868,0.4887
200,3,100,300,"bonf","DE3JN","mag",0.5,"0.0636 (0.057, 0.0707)",0.0707,0.057,3.42680517961824e-05,13.1346664168345,0.0636
200,3,100,300,"l2","DE3JN","mag",0.5,"0.0872 (0.0795, 0.0954)",0.0954,0.0795,0,0.984,0.0872
200,3,100,300,"lp","DE3JN","mag",0.5,"0.1178 (0.109, 0.1271)",0.1271,0.109,0,0.956,0.1178
200,3,100,300,"max","DE3JN","mag",0.5,"0.198 (0.187, 0.2093)",0.2093,0.187,0,0.996,0.198
200,3,100,300,"ssq","DE3JN","mag",0.5,"0.1441 (0.1345, 0.1542)",0.1542,0.1345,0,0.948,0.1441
200,3,50,300,"bonf","DE3JN","mag",0.5,"0.097 (0.0889, 0.1055)",0.1055,0.0889,1.75212679920378e-05,10.3410458086114,0.097
200,3,50,300,"l2","DE3JN","mag",0.5,"0.1096 (0.1011, 0.1186)",0.1186,0.1011,0,0.956,0.1096
200,3,50,300,"lp","DE3JN","mag",0.5,"0.1701 (0.1598, 0.1808)",0.1808,0.1598,0,0.968,0.1701
200,3,50,300,"max","DE3JN","mag",0.5,"0.2526 (0.2406, 0.2649)",0.2649,0.2406,0,0.984,0.2526
200,3,50,300,"ssq","DE3JN","mag",0.5,"0.178 (0.1675, 0.1889)",0.1889,0.1675,0,0.976,0.178
200,4,10,300,"bonf","DE3JN","mag",0.5,"0.2146 (0.2033, 0.2262)",0.2262,0.2033,1.07204270793915e-05,6.24403225407835,0.2146
200,4,10,300,"l2","DE3JN","mag",0.5,"0.3346 (0.3215, 0.3479)",0.3479,0.3215,0,1,0.3346
200,4,10,300,"lp","DE3JN","mag",0.5,"0.3258 (0.3128, 0.339)",0.339,0.3128,0,1,0.3258
200,4,10,300,"max","DE3JN","mag",0.5,"0.259 (0.2469, 0.2714)",0.2714,0.2469,0,1,0.259
200,4,10,300,"ssq","DE3JN","mag",0.5,"0.329 (0.316, 0.3422)",0.3422,0.316,0,1,0.329
200,4,100,300,"bonf","DE3JN","mag",0.5,"0.1692 (0.1589, 0.1799)",0.1799,0.1589,2.49815580666279e-05,19.7566990577885,0.1692
200,4,100,300,"l2","DE3JN","mag",0.5,"0.3282 (0.3152, 0.3414)",0.3414,0.3152,0,0.996,0.3282
200,4,100,300,"lp","DE3JN","mag",0.5,"0.3548 (0.3415, 0.3682)",0.3682,0.3415,0,0.992,0.3548
200,4,100,300,"max","DE3JN","mag",0.5,"0.2862 (0.2737, 0.299)",0.299,0.2737,0,1,0.2862
200,4,100,300,"ssq","DE3JN","mag",0.5,"0.3612 (0.3479, 0.3747)",0.3747,0.3479,0,0.992,0.3612
200,4,50,300,"bonf","DE3JN","mag",0.5,"0.1822 (0.1716, 0.1932)",0.1932,0.1716,9.98576028532483e-06,11.9148971254925,0.1822
