samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
500,2,50,250,max,DE2,mag,0.5,"0.9494 (0.943, 0.9553)",0.9553,0.943,0,0.824,0.9494
500,2,50,250,ssq,DE2,mag,0.5,"0.9568 (0.9508, 0.9623)",0.9623,0.9508,0,0.808,0.9568
500,3,10,250,bonf,DE2,mag,0.5,"0.435 (0.4212, 0.4489)",0.4489,0.4212,2.03E-09,5.380218366,0.435
500,3,10,250,l2,DE2,mag,0.5,"0.7476 (0.7353, 0.7596)",0.7596,0.7353,0,0.944,0.7476
500,3,10,250,lp,DE2,mag,0.5,"0.7346 (0.7221, 0.7468)",0.7468,0.7221,0,0.972,0.7346
500,3,10,250,max,DE2,mag,0.5,"0.7312 (0.7187, 0.7435)",0.7435,0.7187,0,0.996,0.7312
500,3,10,250,ssq,DE2,mag,0.5,"0.7382 (0.7258, 0.7503)",0.7503,0.7258,0,0.976,0.7382
500,3,100,250,bonf,DE2,mag,0.5,"0.1784 (0.1679, 0.1893)",0.1893,0.1679,3.87E-10,29.68628516,0.1784
500,3,100,250,l2,DE2,mag,0.5,"0.1042 (0.0959, 0.113)",0.113,0.0959,0,0.988,0.1042
500,3,100,250,lp,DE2,mag,0.5,"0.186 (0.1753, 0.1971)",0.1971,0.1753,0,1,0.186
500,3,100,250,max,DE2,mag,0.5,"0.3536 (0.3403, 0.367)",0.367,0.3403,0,1,0.3536
500,3,100,250,ssq,DE2,mag,0.5,"0.2096 (0.1984, 0.2211)",0.2211,0.1984,0,1,0.2096
500,3,50,250,bonf,DE2,mag,0.5,"0.2332 (0.2215, 0.2452)",0.2452,0.2215,1.42E-10,20.19751145,0.2332
500,3,50,250,l2,DE2,mag,0.5,"0.1478 (0.1381, 0.1579)",0.1579,0.1381,0,0.984,0.1478
500,3,50,250,lp,DE2,mag,0.5,"0.2952 (0.2826, 0.3081)",0.3081,0.2826,0,1,0.2952
500,3,50,250,max,DE2,mag,0.5,"0.4502 (0.4363, 0.4641)",0.4641,0.4363,0,1,0.4502
500,3,50,250,ssq,DE2,mag,0.5,"0.323 (0.31, 0.3362)",0.3362,0.31,0,1,0.323
500,4,10,250,bonf,DE2,mag,0.5,"0.727 (0.7144, 0.7393)",0.7393,0.7144,0,3.54112539,0.727
500,4,10,250,l2,DE2,mag,0.5,"0.8703 (0.8607, 0.8795)",0.8795,0.8607,0,0.968,0.8703
500,4,10,250,lp,DE2,mag,0.5,"0.8526 (0.8425, 0.8623)",0.8623,0.8425,0,0.968,0.8526
500,4,10,250,max,DE2,mag,0.5,"0.746 (0.7336, 0.758)",0.758,0.7336,0,0.968,0.746
500,4,10,250,ssq,DE2,mag,0.5,"0.8514 (0.8413, 0.8612)",0.8612,0.8413,0,0.968,0.8514
500,4,100,250,bonf,DE2,mag,0.5,"0.6663 (0.6531, 0.6794)",0.6794,0.6531,0,12.46511689,0.6663
500,4,100,250,l2,DE2,mag,0.5,"0.8449 (0.8345, 0.8548)",0.8548,0.8345,0,0.968,0.8449
500,4,100,250,lp,DE2,mag,0.5,"0.8359 (0.8253, 0.8461)",0.8461,0.8253,0,0.984,0.8359
500,4,100,250,max,DE2,mag,0.5,"0.7251 (0.7125, 0.7375)",0.7375,0.7125,0,1,0.7251
500,4,100,250,ssq,DE2,mag,0.5,"0.8278 (0.817, 0.8381)",0.8381,0.817,0,0.992,0.8278
500,4,50,250,bonf,DE2,mag,0.5,"0.6936 (0.6806, 0.7063)",0.7063,0.6806,0,11.93792498,0.6936
500,4,50,250,l2,DE2,mag,0.5,"0.8546 (0.8445, 0.8643)",0.8643,0.8445,0,0.988,0.8546
500,4,50,250,lp,DE2,mag,0.5,"0.844 (0.8336, 0.8539)",0.8539,0.8336,0,0.988,0.844
500,4,50,250,max,DE2,mag,0.5,"0.7263 (0.7137, 0.7386)",0.7386,0.7137,0,0.996,0.7263
500,4,50,250,ssq,DE2,mag,0.5,"0.8348 (0.8242, 0.845)",0.845,0.8242,0,0.992,0.8348
100,1,10,250,cauchy,DE2,mag,0.5,"0.07 (0.0631, 0.0774)",0.0774,0.0631,1.93E-09,0.999820562,0.07
100,1,100,250,cauchy,DE2,mag,0.5,"0.0886 (0.0809, 0.0968)",0.0968,0.0809,4.35E-09,0.99984916,0.0886
100,1,50,250,cauchy,DE2,mag,0.5,"0.0838 (0.0763, 0.0918)",0.0918,0.0763,2.74E-09,0.999764459,0.0838
100,2,10,250,cauchy,DE2,mag,0.5,"0.411 (0.3973, 0.4248)",0.4248,0.3973,3.31E-13,0.997727371,0.411
100,2,100,250,cauchy,DE2,mag,0.5,"0.3988 (0.3852, 0.4125)",0.4125,0.3852,9.99E-16,0.999310053,0.3988
100,2,50,250,cauchy,DE2,mag,0.5,"0.405 (0.3914, 0.4188)",0.4188,0.3914,9.99E-16,0.999336641,0.405
100,3,10,250,cauchy,DE2,mag,0.5,"0.164 (0.1538, 0.1746)",0.1746,0.1538,2.09E-13,0.999873115,0.164
100,3,100,250,cauchy,DE2,mag,0.5,"0.1094 (0.1009, 0.1184)",0.1184,0.1009,4.84E-10,0.999837564,0.1094
