samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
200,1,50,250,lp,pearson,mag,0.8,"0.0513 (0.0454, 0.0578)",0.0578,0.0454,0,1,0.0513
200,1,50,250,lp,pearson,mag,0,"0.0514 (0.0454, 0.0579)",0.0579,0.0454,0,1,0.0514
200,2,10,250,bonf,pearson,mag,0.5,"0.829 (0.8183, 0.8393)",0.8393,0.8183,2.22E-15,3.068689531,0.829
200,2,10,250,bonf,pearson,mag,0.8,"0.851 (0.8408, 0.8608)",0.8608,0.8408,0,5.835584978,0.851
200,2,10,250,bonf,pearson,mag,0,"0.8014 (0.7901, 0.8123)",0.8123,0.7901,0,3.287272301,0.8014
200,2,10,250,pbotlp,pearson,mag,0.5,"0.8169 (0.8059, 0.8275)",0.8275,0.8059,0,0.904,0.8169
200,2,10,250,pbotlp,pearson,mag,0.8,"0.8995 (0.8908, 0.9077)",0.9077,0.8908,0,0.98,0.8995
200,2,10,250,pbotlp,pearson,mag,0,"0.6846 (0.6715, 0.6974)",0.6974,0.6715,0,0.996,0.6846
200,2,10,250,lp,pearson,mag,0.5,"0.7901 (0.7786, 0.8013)",0.8013,0.7786,0,0.952,0.7901
200,2,10,250,lp,pearson,mag,0.8,"0.8817 (0.8724, 0.8905)",0.8905,0.8724,0,0.988,0.8817
200,2,10,250,lp,pearson,mag,0,"0.6468 (0.6334, 0.6601)",0.6601,0.6334,0,1,0.6468
200,2,100,250,bonf,pearson,mag,0.5,"0.7364 (0.724, 0.7486)",0.7486,0.724,0,13.95579616,0.7364
200,2,100,250,bonf,pearson,mag,0.8,"0.7686 (0.7567, 0.7802)",0.7802,0.7567,0,30.8207152,0.7686
200,2,100,250,bonf,pearson,mag,0,"0.611 (0.5973, 0.6245)",0.6245,0.5973,0,5.514702307,0.611
200,2,100,250,pbotlp,pearson,mag,0.5,"0.731 (0.7185, 0.7432)",0.7432,0.7185,0,0.972,0.731
200,2,100,250,pbotlp,pearson,mag,0.8,"0.8835 (0.8744, 0.8923)",0.8923,0.8744,0,0.92,0.8835
200,2,100,250,pbotlp,pearson,mag,0,"0.2192 (0.2078, 0.2309)",0.2309,0.2078,0,0.92,0.2192
200,2,100,250,lp,pearson,mag,0.5,"0.6928 (0.6798, 0.7056)",0.7056,0.6798,0,1,0.6928
200,2,100,250,lp,pearson,mag,0.8,"0.8572 (0.8472, 0.8668)",0.8668,0.8472,0,0.992,0.8572
200,2,100,250,lp,pearson,mag,0,"0.1958 (0.185, 0.207)",0.207,0.185,0,1,0.1958
200,2,50,250,bonf,pearson,mag,0.5,"0.7564 (0.7443, 0.7682)",0.7682,0.7443,0,7.138146138,0.7564
200,2,50,250,bonf,pearson,mag,0.8,"0.7918 (0.7803, 0.803)",0.803,0.7803,0,13.28967891,0.7918
200,2,50,250,bonf,pearson,mag,0,"0.6652 (0.652, 0.6782)",0.6782,0.652,0,6.831689477,0.6652
200,2,50,250,pbotlp,pearson,mag,0.5,"0.7505 (0.7383, 0.7624)",0.7624,0.7383,0,0.996,0.7505
200,2,50,250,pbotlp,pearson,mag,0.8,"0.8897 (0.8807, 0.8983)",0.8983,0.8807,0,0.94,0.8897
